"ID","Owner","Created Date","Updated Date","Submission Time","Ingredient Name","Multi Selection Field 2","Multi Selection Field 3","Multi Selection Field 4","Multi Selection Field 5","Paragraph Field","Multi Selection Field","Multi Selection Field 6","Multi Selection Field 7","Short Text Field"
"c199e1e0-5600-4a45-8506-21c006bbb0bc","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Mango Butter","Dry Skin,Sensitive & Eczema Prone Skin","Butter",,,,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing",,,
"85fd08d9-7a4b-4def-aaed-038c985c26a7","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Mica","Mature & Aging Skin",,,,"NOT DONE YET","Light reflecting particles",,,
"c6e0a04e-944a-44e6-99de-d0b2346be854","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Myrrh Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil","Base","Oil Soluble","Do not use during pregnancy","Astringent (improved elasticity),Astringent (contracts & tones skin tissues),Antiseptic",,,
"da42f25c-4b56-48fa-98ca-bdd3af98b2fd","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Neroli","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil",,,"Avoid on young children (under 4 y.o.)","Cytophylactic,Antibacterial,Tissue & Cell Regeneration",,,
"4eb9e98a-7e72-4a92-acfd-85a3d2f753f5","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Niacinamide","Oily & Acne Prone Skin",,,,,"Reduce pore size,Balance sebum production",,,
"7ef86455-b00b-4904-a591-2ddc1379c19b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Olive","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil",,,,"Moisturising,Emollient,Hydrating,Soothing,Antioxidant,Calming",,,
"73c61c2e-1f99-4a58-8b3f-d02c1ceadce9","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Olive Squalane","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Humectant",,"Oil Soluble","NOT DONE YET","Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing","Fast absorbency",,
"5a891181-29e7-4ea6-96a2-17831ee881ec","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Palm","Dry Skin","Carrier Oil",,,,"Moisturising",,,
"e4147bd3-a2f8-4704-8b99-35d7bfcc6e60","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Palmarosa Essential Oil","Dry Skin,Oily & Acne Prone Skin","Essential Oil",,,,"Moisturising,Emollient,Hydrating,Balance sebum production,Smoothing",,,
"91021c07-85c7-4a6d-b358-73939ed985ba","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Panthenol (pro-vitamin B5)","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin",,,,,"Moisturising,Humectant,Hydrating,Soothing,Calming,Smoothing",,,
"2c28ac9f-2b2a-483f-b0c1-34e9bdec0451","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Passion Fruit Oil","Sensitive & Eczema Prone Skin","Carrier Oil",,,,"Anti-inflammatory,Soothing,Calming",,,
"c199a9e7-bf11-4069-ac5e-481d8696c0f2","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Peach Kernel","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil",,,,"Moisturising,Emollient",,,
"f147a1ee-0df6-4869-9e11-1a63784e5cb2","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Pettigrain Essential Oil","Oily & Acne Prone Skin","Essential Oil",,,,"Antibacterial,Antiseptic",,,
"baa70407-b41e-4460-b186-1f2b9c64e3f4","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Phyllanthus Oil","Dry Skin","Essential Oil",,,,"Moisturising,Anti-inflammatory,Soothing",,,
"58035e8f-501f-44ae-81b0-9bb25cdb9371","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Pomegranate Oil","Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,,,"Anti-inflammatory,Soothing,Antioxidant,Calming",,,
"f7a6641a-6d6f-4a0f-8265-1b8529356b61","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Prickly Pear Seed","Sensitive & Eczema Prone Skin","Carrier Oil",,,,"Anti-inflammatory,Soothing,Calming",,,
"a8349298-6782-42de-9c18-b943eaa2129c","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Raspberry Seed Oil","Mature & Aging Skin","Carrier Oil",,,"NOT DONE YET","Antioxidant",,,
"61cacdbb-68c2-425b-bb5d-64c51cd664bc","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Rose Bulgarian [Clear] Floral Water ",,,,"Water Soluble","NOT DONE YET",,,,
"6b589d60-87c4-4a62-b5ff-d03c927955fb","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Rosehip Seed Oil","Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Carrier Oil",,"Oil Soluble","NOT DONE YET","Moisturising,Reduce pore size,Emollient,Hydrating,Antioxidant,Smoothing,Anti-aging","Fast absorbency","1 very low likelihood of clogging pores",
"feac0592-c5da-44b1-9b01-ef575ec937d6","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Rosemary Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin","Essential Oil","Middle","Oil Soluble","Do not use during pregnancy.  

Unsuitable for people with high blood pressure and/or epilepsy.","Reduce pore size,Astringent (improved elasticity),Cytophylactic,Age spot appearance reduction,Skin lightening,Astringent (contracts & tones skin tissues),Antiseptic",,,
"f30c349d-4d99-4e29-8f14-8fec92added8","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Safflower","Dry Skin,Sensitive & Eczema Prone Skin,Oily & Acne Prone Skin","Carrier Oil",,,,"Moisturising,Emollient,Hydrating,Soothing,Calming",,,
"3409a594-c9e0-4d19-bb19-2cb493ebfab8","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Salicylic Acid","Oily & Acne Prone Skin",,,,,"Exfoliating",,,
"dd8e50cc-5678-4f5a-9549-e0b0f65cce6b","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Salicylic Acid (derived from Willowbark Tree is most natural form)","Oily & Acne Prone Skin",,,,,"Anti-inflammatory,Exfoliating",,,
"9d41075d-0bc5-44ba-b634-e2b3ad645f98","c8529ad0-f39c-4ce1-abc5-72adffee09f3",2019-04-21T04:00:28Z,2019-04-21T04:00:28Z,,"Sandalwood Essential Oil","Dry Skin,Sensitive & Eczema Prone Skin","Essential Oil",,,,"Anti-inflammatory,Soothing,Calming",,,
