INGREDIENT COMMON NAME,INGREDIENT INCI NAME,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,4,K
Acai Oil Certified Organic,Euterpe oleracea (Acai) oil (certified organic),Yes,,AWO,,No,Anhydrous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Protecting,Anti-aging,Eczema,Elasticity","Dry,Inflamed,Cracking,Fine lines,Wrinkles,Damage from sun/environment and lifestyle,Eczema",,None known,Light,Fast,2,,,,,,,
Aloe Vera Juice,Aloe Barbadensis (Aloe Vera) juice,Yes,,ND,,Yes,,Mature & Aging Skin,"Extract,aqueous high performance",,Water Soluble,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated,Fine lines,Wrinkles,Predisposed to acne",,NEED TO FIND,,,,,,,"Aloe Vera powder and purified Aqua - and preservative Gluconolatone & sodium benzoate
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/
https://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/pr274.pdf",,,
Alpinia Leaf,,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promotes collagen production,"Fine lines,Wrinkles",,,,,,,,,,,,
Alpinia Root,,,,,,,,Mature & Aging Skin,,,,"Age spot appearance reduction,Skin lightening",Age spots,,,,,,,,,,,,
Apricot Kernel Oil,Prunus armeniaca (Apricot) kernel oil (certified organic),Yes,,AWO,,Yes,"Anhydrous,Emulsion","Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Skin lightening,Balance sebum production,Antibacterial,Antiseptic,Protecting,Anti-aging,Tissue & Cell Regeneration,Eczema,Softening","Dry,Inflamed, TEWL,Fine lines,Wrinkles,Loss of firmness & tone,Age spots,Oily (overproduction of sebum),Clogged pores/cell accumulation,Enlarged pores,Predisposed to acne,Scarring,Skin cell regeneration/turnover slows down,Dry and/or flaky on some portions of skin",,"Can be used for people with high blood pressure.

As with all other oils, a patch test should be conducted on the inner arm or other generally insensitive area of skin, using a dime size amount of Apricot Kernel Carrier Oil to check for sensitivities. An absence of an allergic response within 48 hours indicates that the oil is safe to use.

The topical application of Apricot Kernel Carrier Oil is not known to have side effects. In the rare chance of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",Light,Fast,2,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

Promotes acne control - Kanlayavattanakul, M., and N. Lourith. 2011. “Therapeutic Agents and Herbs in Topical Application for Acne Treatment.” International Journal of Cosmetic Science33 (4): 289–297.do:10.1111/j.1468-2494.2011.00647.x.
Inflammation regulation supports - Young GL, Jewell D. 2000. Creams for preventing stretch marks in pregnancy. Cochrane Database Syst Rev. (2) :CD00066 .
Antioxidant rich - Dweck, A.C. Skin treatment with plants of the Americas. Toil.112, 47–64 (1997).","Thinner consistency
Cleansing properties

Add: oleic acid, phytosterols, eczema, softening, elasticity",,
Argan Oil,Argania spinosa (Argan) oil (certified organic),Yes,,AWO,,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Balance sebum production,Calming,Smoothing,Tissue & Cell Regeneration,Softening,Elasticity","Fine lines,Wrinkles,Oily (overproduction of sebum),Predisposed to acne,Excessive oil on some parts (possibly in T-zone)",Nut allergy,"Nut Oil - The oil is derived from the fruit’s nut, which contains the proteins that trigger allergic responses. Accordingly, those with nut allergies should be cautious about using Argan Oil, as there have been some cases, though rare, that have reported adverse reactions. Despite the fact that Argan Oil is largely used in cosmetics for the purpose of treating acne and wrinkles, it may potentially cause an allergic reaction that could involve acne as well as anaphylaxis, difficulty breathing, rashes, and itchy, red, scaly skin. These reactions could possibly be caused by impure or low quality Argan Carrier Oil. It is recommended that a skin patch test be conducted on a small area on the inner arm to test for any potential reactions.",Light,Medium,0,,,,,Has cleansing properties,,
Avocado,Persea gratissima (Avocado) oil (certified organic),Yes,,ND,,Yes,Anhydrous,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,,"Dry,Wrinkles,Eczema",Blood thinners,"Potentially severe side effects of using Avocado Carrier Oil may include hives, abdominal pain, and vomiting. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action.

Individuals taking blood thinners to slow blood clotting may experience a drug interaction. To prevent these side effects, consult with a medical professional prior to use.",Heavy,Medium,3,,,,,"Add: Oleic, vitamin D

Thick, fatty and heavy oil.  Easily absorbed, fast-medium absorption, softening, removes dark shadows, grey, tired and slack skin, vitamin D?",,
Beeswax,,Yes,,,,Yes,,"Dry Skin,Sensitive & Eczema Prone Skin",Wax,,Oil Soluble,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Appears & Feels Rough",,NOT DONE YET,,,,,,,"Supports inflammation regulation - Fratini, F., Cilia, G., Turchi, B., & Felicioli, A. (2016). Beeswax: a minireview of its antimicrobial activity and its application in medicine. Asian Pacific Journal of Tropical Medicine, 9(9), 839-843. 
Antioxidant - 
Anti-bacterial support - 

- Wagh, V. D. (2013). Propolis: a wonder bees product and its pharmacological potentials. Advances in pharmacological sciences, 2013.",,,
Benzoin,Styrax benzoin (Benzoin) resinoid,Yes,,,,Yes,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Essential Oil,Botanical",Base,Oil Soluble,"Anti-inflammatory,Increase blood circulation,Astringent (contracts & tones skin tissues),Antiseptic","Inflamed,Irritated,Itching,Redness,Dull complexion,Enlarged pores,Predisposed to acne",Sensitising,"May cause skin sensitivity for some people
Do not use with young children",,,,,,,,,,
Bergamot Essential Oil,Citrus Bergamo,Yes,,,,,,,Essential Oil,Top,Oil Soluble,"Balance sebum production,Regulating,Antibacterial,Antiseptic","Oily (overproduction of sebum),Predisposed to acne","Phototoxic,pregnancy,breastfeeding or nursing","SEE NEW DIRECTIONS SHEET AND ADD

Avoid during pregnancy

Phototoxic – due to the presence of Bergaptene exposure to direct & prolonged sunlight needs to be avoided. Bergamot FCF is not phototoxic because bergaptene has been removed",,,,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6BERGBERGF,"To add 
balancing, cicatrisant
cleansing
promotes healthy skin growth",,
Bergamot Essential Oil (Non-Phototoxic) Certified Organic,"Citrus aurantium L.ssp.bergamia (Bergamot) essential oil (non-phytotoxic, certified organic)",Yes,,AWO,,No,Anhydrous,,Essential Oil,Top,Oil Soluble,"Balance sebum production,Regulating,Antibacterial,Antiseptic,Eczema","Oily (overproduction of sebum),Predisposed to acne","Pregnancy,breastfeeding or nursing","Avoid during pregnancy. 

Flammable liquid.  

Adults only, not to be used on children under two years of age without medical advice.",,,,,,,,"Non-Phototoxic: Normally, Bergamot Essential Oil contains naturally occurring bergaptens or furo/furano-coumarins, which are known to cause skin phototoxicity. This means that skin can discolour when exposed to direct sunlight, and in some cases cause burning. It is for this reason that a bergapten-free or non-phototoxic version of Bergamot EO has been created.",,
Bioethanol,Ethanol,Yes,9780,EFF,64-17-5,Yes,,,,,,,,,,,,,,,,,,,
Blue Elderberry Extract,,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,"Age spot appearance reduction,Skin lightening",Age spots,,,,,,,,,,,,
Borage Oil,,,,,,,,"Dry Skin,Mature & Aging Skin","Carrier Oil, anhydrous base",,,"Moisturising,Emollient",Inflamed,,,,Slow,,,,,,,,
Calendula Extract,Calendula officinalis (Calendula) flower extract,Yes,,,,,,Sensitive & Eczema Prone Skin,"Extract,aqueous high performance",,Water Soluble,"Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Antibacterial,Antiseptic,Calming","Inflamed,Irritated","Pregnancy,breastfeeding or nursing","Do not apply directly to the skin unless patch tested first.

Avoid in pregnant or breastfeeding or nursing women. There is a lack of scientific evidence on the use of calendula during pregnancy or breastfeeding or nursing.",,,,,1-10% in water phase,,"https://www.sigmaaldrich.com/life-science/nutrition-research/learning-center/plant-profiler/calendula-officinalis.html

https://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/pr324.pdf

https://bmcchem.biomedcentral.com/articles/10.1186/1752-153X-7-8",,,
Calendula Infused Oil,,,,,,,,Sensitive & Eczema Prone Skin,"Oil Infusion,anhydrous high performance",,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated",,,Heavy,,1,,,,,,,
Camellia,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,,"Moisturising,Emollient,Hydrating,Soothing,Calming,Smoothing","Dry,Fine dehydration lines,Appears & Feels Rough",,,Light,Fast,1,,,,,,,
Carrot Seed Essential Oil,Daucus carota,Yes,,,,,,,Essential Oil,Middle,Oil Soluble,,,Pregnancy,,Heavy,,3,,,,https://shop.newdirections.com.au/epages/newdirections.mobile/en_AU/?ObjectPath=/Shops/newdirections/Products/OE6CARRSEED,,,
Carrot Tissue Infused Oil,,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,Oil Infusion",,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated",,,,,,,,,,,,
Castor BP,,,,,,,,Dry Skin,"Carrier Oil,anhydrous base",,,Emollient,,,,Heavy,Slow,1,,,,,,,
Chamomile Essential Oil,,,,,,,,,Essential Oil,,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated,Predisposed to acne",Atopic,,,,,,,,,,,
Chia Seed Oil,,,,,,,,Sensitive & Eczema Prone Skin,"Carrier Oil,anhydrous base",,,"Anti-inflammatory,Soothing,Calming","Inflamed,Irritated",,,Light,Medium,3,,,,,,,
Co Enzyme Q10,Ubiquinone,Yes,,AWO,,No,,,"Aqueous high performance,anhydrous high performance",,,"Antioxidant,Protecting",,,Not known,,,,,0.01-0.2%,,,,,
Cocoa Butter,,,,,,,,"Dry Skin,Sensitive & Eczema Prone Skin",Butter,,,"Moisturising,Emollient,Hydrating,Smoothing","Flaking,Scaling,Peeling",,,,,,,,,,,,
