INGREDIENT COMMON NAME,INGREDIENT INCI NAME,Country of Origin,In Stock,Quantity in Stock (in grams),Supplier Name,CAS NO.,NICNAS Check Completed,Flash Point,Product Type,Skin Type,TYPE OF INGREDIENT,ESSENTIAL OIL NOTE,Solubility,Ingredient Benefits,SKIN PROBLEM,CONTRAINDICATIONS,Contraindications detailed,VISCOSITY,ABSORPTION RATE,COMEDOGENIC RATING,Composition,Recommended Concentration,Allergens,Relevant References,Other Important Information,2
Acai Oil Certified Organic,Euterpe oleracea (Acai) oil (certified organic),South America,Yes,,AWO,,No,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Antibacterial,Protecting,Anti-aging,Eczema,Elasticity","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,inflamed and/or irritated,Cracking,fine lines and wrinkles,Damage from sun/environment and lifestyle,Eczema",,None known,Light,Fast,2,,,,,,
Allantoin,Allantoin,,Yes,,,97-59-6,,,,,,,Water Soluble,"Skin conditioning, skin protecting, soothing,wound healing,skin ulcers,burns,sunburns,acne and skin eruptions,eczema and psoriasis,promotes new cell growth,repairs tissue damage","Scarring,inflammation",,,,,,,.2-2%,,,"To incorporate 0.2% Allantoin, or more, into an emulsion, the emulsion is made and Allantoin is added during the cooling process below 45 oC. Good agitation is required to thoroughly disperse the Allantoin to achieve a suitable suspension. Addition of Allantoin at 0.2% or more at temperatures above 50 oC in aqueous systems can cause re-crystallization, upon cooling, into larger particles which are perceptible during product use. Allantoin can be pre-mixed with a little water to aid incorporation.",
Aloe Vera Juice,Aloe Barbadensis (Aloe Vera) juice,,Yes,,ND,,Yes,,,Mature & Aging Skin,"Extract,aqueous high performance",,Water Soluble,"Anti-inflammatory,Soothing,Calming","inflamed and/or irritated,fine lines and wrinkles,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",,NEED TO FIND,,,,,,,"Aloe Vera powder and purified Aqua - and preservative Gluconolatone & sodium benzoate
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2763764/
https://online.personalcarecouncil.org/ctfa-static/online/lists/cir-pdfs/pr274.pdf",,
Alpinia Leaf,,,No,,,,,,,Mature & Aging Skin,"Extract,aqueous high performance",,,Promotes collagen production,fine lines and wrinkles,,,,,,,,,,,
Alpinia Root,,,No,,,,,,,Mature & Aging Skin,,,,"Age spot appearance reduction,Skin lightening",Age spots,,,,,,,,,,,
Apricot Kernel Oil,Prunus armeniaca (Apricot) kernel oil (certified organic),Germany/Kenya,Yes,,AWO,72869-69-3,Yes,,"Anhydrous,Emulsion","dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Normal Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Anti-inflammatory,Soothing,Antioxidant,Promotes collagen production,Skin lightening,Balance sebum production,Antibacterial,Antiseptic,Protecting,Anti-aging,Tissue & Cell Regeneration,Eczema,Softening","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,inflamed and/or irritated,TEWL,fine lines and wrinkles,loss of firmness and tone,Age spots,Oily (overproduction of sebum),Clogged pores/cell accumulation,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),Scarring,skin cell regeneration slowing,dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance and/or flaky on some portions of skin,itchy,chapped,sensitive",,"Can be used for people with hypertension.

As with all other oils, a patch test should be conducted on the inner arm or other generally insensitive area of skin, using a dime size amount of Apricot Kernel Carrier Oil to check for sensitivities. An absence of an allergic response within 48 hours indicates that the oil is safe to use.

The topical application of Apricot Kernel Carrier Oil is not known to have side effects. In the rare chance of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action. To prevent side effects, consult with a medical professional prior to use.",Light,Fast,2,,,,"Review Article
Polyphenols as active ingredients for cosmetic products
O. V. Zillich*,†, U. Schweiggert-Weisz*, P. Eisner* and M. Kerscher†
Nevertherless, the beneficial effects in vitro as well as presented in vivo evidence demonstrate an enormous potential of polyphenolic extracts as active ingredients in topical applied products for the prevention and therapy of UV damages, skin ageing as well as cancer diseases.

Promotes acne control - Kanlayavattanakul, M., and N. Lourith. 2011. “Therapeutic Agents and Herbs in Topical Application for Acne Treatment.” International Journal of Cosmetic Science33 (4): 289–297.do:10.1111/j.1468-2494.2011.00647.x.
Inflammation regulation supports - Young GL, Jewell D. 2000. Creams for preventing stretch marks in pregnancy. Cochrane Database Syst Rev. (2) :CD00066 .
Antioxidant rich - Dweck, A.C. Skin treatment with plants of the Americas. Toil.112, 47–64 (1997).","Thinner consistency
Cleansing properties

Add: oleic acid, phytosterols, eczema, softening, elasticity",
Argan Oil,Argania spinosa (Argan) oil (certified organic),Morocco,Yes,,AWO,,,,"Anhydrous,Emulsion","Sensitive & Eczema Prone Skin,Mature & Aging Skin,Oily & Acne Prone Skin,Combination","Carrier Oil,anhydrous base",,Oil Soluble,"Moisturising,Emollient,Hydrating,Anti-inflammatory,Soothing,Antioxidant,Balance sebum production,Calming,Smoothing,Tissue & Cell Regeneration,Softening,Elasticity","fine lines and wrinkles,Oily (overproduction of sebum),pre-disposed to acne, peeling and dehydrated (due to use of products to control oil),excessive oil in some areas (possibly int he T-zone)",Nut allergies,"Nut Oil - The oil is derived from the fruit’s nut, which contains the proteins that trigger allergic responses. Accordingly, those with nut allergies should be cautious about using Argan Oil, as there have been some cases, though rare, that have reported adverse reactions. Despite the fact that Argan Oil is largely used in cosmetics for the purpose of treating acne and wrinkles, it may potentially cause an allergic reaction that could involve acne as well as anaphylaxis, difficulty breathing, rashes, and itchy, red, scaly skin. These reactions could possibly be caused by impure or low quality Argan Carrier Oil. It is recommended that a skin patch test be conducted on a small area on the inner arm to test for any potential reactions.",Light,Medium,0,,,,,Has cleansing properties,
Avocado,Persea gratissima (Avocado) oil (certified organic),Kenya/Spain,Yes,,ND,8024-32-6,Yes,,Anhydrous,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Carrier Oil,anhydrous base",,Oil Soluble,,"dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,fine lines and wrinkles,Eczema",Blood thinners,"Potentially severe side effects of using Avocado Carrier Oil may include hives, abdominal pain, and vomiting. In the event of an allergic reaction, discontinue use of the product and see a doctor, pharmacist, or allergist immediately for a health assessment and appropriate remedial action.

Individuals taking blood thinners to slow blood clotting may experience a drug interaction. To prevent these side effects, consult with a medical professional prior to use.",Heavy,Medium,3,,,,,"Add: Oleic, vitamin D

Thick, fatty and heavy oil.  Easily absorbed, fast-medium absorption, softening, removes dark shadows, grey, tired and slack skin, vitamin D?",
Beeswax,,,Yes,,,8012-89-3,Yes,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin",Wax,,Oil Soluble,"Moisturising,Emollient,Occlusive,Hydrating,Soothing,Calming,Smoothing","dry, dry/rough skin in feeling and/or appearance, rough on some portions of the skin,Fine dehydration lines,rough on some portions of the skin on some portions of the skin",,NOT DONE YET,,,,,,,"Supports inflammation regulation - Fratini, F., Cilia, G., Turchi, B., & Felicioli, A. (2016). Beeswax: a minireview of its antimicrobial activity and its application in medicine. Asian Pacific Journal of Tropical Medicine, 9(9), 839-843. 
Antioxidant - 
Anti-bacterial support - 

- Wagh, V. D. (2013). Propolis: a wonder bees product and its pharmacological potentials. Advances in pharmacological sciences, 2013.",,
Benzoin,Styrax benzoin (Benzoin) resinoid,,Yes,,,84929-79-3,Yes,,,"dry, dry/rough skin in feeling and/or appearance, dry, dry/rough skin in feeling and/or appearance/rough skin in feeling and/or appearance Skin,Sensitive & Eczema Prone Skin,Mature & Aging Skin","Essential Oil,Botanical",Base,Oil Soluble,"Anti-inflammatory,Increase blood circulation,Astringent (contracts & tones skin tissues),Antiseptic","inflamed and/or irritated,Itching and/or redness,Dull complexion,Enlarged pores,pre-disposed to acne, peeling and dehydrated (due to use of products to control oil)",Sensitising,"May cause skin sensitivity for some people
Do not use with young children",,,,,,,,,
